Xt,Yt,Zt,THETAt,Xf,Yf,Zf,THETAf
-0.11559194534466179,0.08347758913913139,0.6779999999999999,1.8358682069415353,-0.404,0.113,0.719,0.43999999999999817
-0.10659545038353432,0.08346729305364647,0.6789999999999999,1.8598664841564572,-0.383,0.113,0.72,0.4400000000000004
-0.09664871490995047,0.08362431175281732,0.6799999999999999,1.8838647613713795,-0.39,0.11,0.709,-0.28000000000000025
-0.07830210663736525,0.0846695149383841,0.6819999999999999,1.9340429773662162,-0.381,0.111,0.708,0.3600000000000003
-0.06953432679961545,0.0853354143131293,0.6819999999999999,1.9580412545811383,-0.364,0.11,0.706,0.3600000000000003
-0.05090064723026666,0.08729005147251145,0.6829999999999999,2.007128639793479,-0.356,0.11,0.705,0.3200000000000003
-0.05090064723026666,0.08729005147251145,0.6829999999999999,2.007128639793479,-0.347,0.11,0.704,0.3600000000000003
-0.03199101794209627,0.08921566697269612,0.6839999999999999,2.058397686570812,-0.339,0.11,0.703,0.31999999999999806
-0.023029904230179893,0.09102479175814515,0.6839999999999999,2.0845776253507275,-0.335,0.125,0.717,0.20000000000000018
-0.013454579660164084,0.10084500348579933,0.6779999999999999,2.1096667333481456,-0.327,0.125,0.716,0.3200000000000003
0.005496341007576094,0.10671134051644215,0.6759999999999999,2.1642082724729685,-0.316,0.125,0.716,0.4400000000000004
0.009016229094434253,0.11323434782090186,0.6819999999999999,2.1903882112528836,-0.299,0.126,0.717,0.40000000000000036
0.017943172417893505,0.11732502060478642,0.6809999999999999,2.218749811597791,-0.291,0.126,0.717,0.3200000000000003
0.03485347790225701,0.124514190810398,0.6789999999999999,2.2776546738526,-0.285,0.127,0.717,0.2400000000000002
0.04232752639343926,0.12730424890239483,0.6779999999999999,2.301652951067522,-0.275,0.127,0.719,0.39999999999999813
0.058330352493528054,0.1346696475064719,0.6759999999999999,2.356194490192345,-0.261,0.129,0.719,0.20000000000000018
0.06441170269370139,0.13887442834256067,0.6759999999999999,2.3801927674072667,-0.251,0.13,0.722,0.40000000000000036
0.07369575109760512,0.1426724736065607,0.6749999999999999,2.410736029317168,-0.233,0.131,0.723,0.4399999999999993
0.08134254773868316,0.1471540768722129,0.6749999999999999,2.4390976296620757,-0.225,0.132,0.724,0.3200000000000003
0.08738992103150586,0.1502770302922748,0.6749999999999999,2.4652775684419903,-0.216,0.132,0.724,0.3600000000000003
0.09976565217909808,0.1599837709055657,0.6749999999999999,2.522000769131806,-0.197,0.134,0.726,0.3199999999999992
0.10665784482035798,0.16405228873887454,0.6749999999999999,2.550362369476714,-0.197,0.134,0.726,0.3199999999999992
0.11234762239902105,0.1682566956861306,0.6749999999999999,2.5787239698216218,-0.179,0.136,0.725,0.4400000000000004
0.12310500976162794,0.17704989350365494,0.6749999999999999,2.6354471705114375,-0.171,0.136,0.723,0.3199999999999992
0.12855488504543655,0.18045365989029688,0.6749999999999999,2.6594454477263594,-0.152,0.138,0.722,0.3600000000000003
0.13343246690284988,0.18512580770808956,0.6749999999999999,2.6878070480712672,-0.142,0.139,0.72,0.40000000000000036
0.14275415871336877,0.19195749078584579,0.6749999999999999,2.7379852640661047,-0.118,0.143,0.719,0.5600000000000005
0.1467748062353566,0.1962952168838449,0.6749999999999999,2.7641652028460193,-0.118,0.143,0.719,0.5600000000000005
0.1506023393801163,0.20070949986041342,0.6749999999999999,2.790345141625934,-0.102,0.142,0.719,0.40000000000000036
0.15508008757872882,0.2078533984973962,0.6749999999999999,2.8361600344907854,-0.096,0.142,0.719,0.23999999999999966
0.15818399992019866,0.211816401891617,0.6749999999999999,2.8601583117057072,-0.082,0.142,0.718,0.19999999999999962
0.16012022240411716,0.2148278857503511,0.6739999999999999,2.8841565889206295,-0.079,0.141,0.718,0.1200000000000001
0.16602389079916025,0.221569806433137,0.6749999999999999,2.9408797896104453,-0.074,0.14,0.718,0.20000000000000018
0.1685039861833551,0.22536569338684756,0.6739999999999999,2.96705972839036,-0.071,0.138,0.718,0.1200000000000001
0.1707795018460267,0.22919765326516855,0.6739999999999999,2.993239667170275,-0.065,0.133,0.717,0.1200000000000001
0.1746493391647384,0.23529013326390363,0.6719999999999999,3.043417883165112,-0.063,0.13,0.717,0.08000000000000007
0.1763236851158516,0.23919657325163313,0.6719999999999999,3.069597821945027,-0.061,0.126,0.717,0.08000000000000007
0.17879083351459146,0.24311795621895047,0.6709999999999999,3.095777760724942,-0.064,0.122,0.718,0.0
0.18105046420077991,0.24604885324565165,0.6709999999999999,3.121957699504857,-0.064,0.122,0.718,0.0
0.18392424557768677,0.25357834775328003,0.6689999999999999,-3.1066860685499065,-0.063,0.115,0.718,0.0
0.18554353214210878,0.2575043551353937,0.6679999999999999,-3.0805061297699914,-0.064,0.105,0.719,-0.040000000000000036
0.18844842910307097,0.26168350661291784,0.6679999999999999,-3.036872898470133,-0.064,0.097,0.72,0.0
0.18960135199107014,0.2639079321108272,0.6679999999999999,-3.0128746212552113,-0.065,0.091,0.721,-0.040000000000000036
0.19068104494362337,0.2664562570115269,0.6669999999999999,-2.9910580056052822,-0.063,0.085,0.722,0.0
0.19061810594945433,0.26798294719579174,0.6669999999999999,-2.969241389955353,-0.062,0.079,0.723,0.040000000000000036
0.1927801687813266,0.2742502207972923,0.6679999999999999,-2.921244835525509,-0.061,0.073,0.724,0.040000000000000036
0.19194458369956385,0.2769701406899441,0.6669999999999999,-2.895064896745594,-0.059,0.063,0.726,0.040000000000000036
0.19090754368299304,0.28063936514305776,0.6669999999999999,-2.868884957965679,-0.057,0.057,0.727,0.0799999999999998
0.18902294171307735,0.28843115995599866,0.6679999999999999,-2.8143434188408563,-0.055,0.051,0.728,0.08000000000000007
0.1871445784633982,0.2925313153990688,0.6679999999999999,-2.7859818184959484,-0.053,0.045,0.729,0.08000000000000007
0.18503767021176495,0.29754658921316496,0.6689999999999999,-2.7576202181510405,-0.048,0.033,0.732,0.11999999999999983
0.18042982555378914,0.3036983715767876,0.6689999999999999,-2.703078679026218,-0.047,0.026,0.732,0.040000000000000036
0.1766698575135209,0.30842883944976696,0.6699999999999999,-2.6747170786813097,-0.039,0.011,0.734,0.1200000000000001
0.17455488504543656,0.31054634010970317,0.6699999999999999,-2.6594454477263594,-0.037,0.004,0.735,0.08000000000000007
0.1664738272493679,0.31967907637130494,0.6699999999999999,-2.598358923906558,-0.034,-0.002,0.736,0.11999999999999983
0.1619264027803338,0.3239741722512391,0.6709999999999999,-2.5699973235616502,-0.026,-0.013,0.737,0.20000000000000004
0.15160835156880811,0.3326275250057061,0.6719999999999999,-2.5154557844368277,-0.022,-0.02,0.738,0.16
0.15160835156880811,0.3326275250057061,0.6719999999999999,-2.5154557844368277,-0.019,-0.026,0.739,0.11999999999999997
0.1401431328850619,0.342266063526696,0.6729999999999999,-2.4587325837470115,-0.016,-0.033,0.74,0.11999999999999997
0.1340557933482643,0.34635585105818545,0.6729999999999999,-2.432552644967097,-0.01,-0.045,0.741,0.11999999999999997
0.12981078506224905,0.35131038074750454,0.6759999999999999,-2.406372706187182,-0.006,-0.051,0.742,0.16
0.11833035249352805,0.35933035249352807,0.6789999999999999,-2.356194490192345,-0.003,-0.058,0.743,0.12
0.11164639227671727,0.36386742139277983,0.6799999999999999,-2.33001455141243,0.005,-0.068,0.744,0.2
0.10781943624475965,0.36625380414403186,0.6769999999999999,-2.3038346126325147,0.009,-0.074,0.745,0.15999999999999998
0.10235585105818545,0.3700557933482644,0.6779999999999999,-2.279836335417593,0.012,-0.079,0.746,0.12000000000000004
0.08982982454727204,0.37746247369625596,0.6779999999999999,-2.2307489502052524,0.015,-0.085,0.747,0.11999999999999997
0.08276407149249734,0.3820489266529159,0.6779999999999999,-2.205659842207834,0.023,-0.095,0.748,0.16
0.06874517713369621,0.3901225906604392,0.6789999999999999,-2.153299964648004,0.024,-0.098,0.749,0.040000000000000036
0.060500118997661445,0.39374932015377234,0.6789999999999999,-2.1249383643030963,0.028,-0.102,0.749,0.16
0.052983899766223114,0.39766949843708993,0.6789999999999999,-2.099849256305678,0.031,-0.106,0.749,0.11999999999999997
0.03607951722816706,0.4043174481677338,0.6779999999999999,-2.0474893787458477,0.036,-0.11,0.748,0.1999999999999999
0.03607951722816706,0.4043174481677338,0.6779999999999999,-2.0474893787458477,0.04,-0.113,0.748,0.16000000000000014
0.020396264238827747,0.4099543022222087,0.6779999999999999,-1.997311162751011,0.05,-0.118,0.748,0.20000000000000018
0.013738364832348318,0.41088384807467815,0.6759999999999999,-1.9733128855360889,0.059,-0.122,0.748,0.15999999999999986
0.006012085228158576,0.41265278759998053,0.6749999999999999,-1.9493146083211665,0.065,-0.125,0.745,0.2400000000000002
